Province,policies,claims_count,claim_freq,total_premium,total_claims,loss_ratio,z_freq_vs_rest,p_freq_vs_rest,mw_stat_severity_vs_rest,p_severity_vs_rest
Gauteng,1292,625,0.48374613003095973,11179414.570061686,13882452.745964915,1.241787095286897,10.853734917104891,1.914392613188454e-27,212430.5,0.01759275096427324
KwaZulu-Natal,710,216,0.30422535211267604,5769142.9806834245,6594477.963684211,1.1430602406222587,-4.019370947019567,5.8353734483372446e-05,138560.5,6.122207227848467e-08
North West,538,185,0.34386617100371747,3481963.2495309883,2922136.1496491223,0.8392208476188617,-1.3155219816869905,0.18833453468656736,72196.0,3.533130109149786e-09
Western Cape,363,102,0.2809917355371901,2136767.830753111,2358611.7928070175,1.1038222116886311,-3.675621122732321,0.00023727143482740685,57321.5,0.6622805213540532
Eastern Cape,186,30,0.16129032258064516,1104393.255692911,848104.5714035091,0.7679371157255003,-6.037343243135812,1.5667223482523368e-09,17569.5,0.6757884020806748
Mpumalanga,168,65,0.3869047619047619,1166193.752167294,980690.7115789476,0.8409329150978546,0.49389259829565824,0.6213820321794556,29337.0,0.0009877990172339698
Limpopo,87,27,0.3103448275862069,670638.8013429712,496696.394736842,0.7406317584699765,-1.1481542363989934,0.2509048975824665,13753.0,0.1275408086951624
Free State,32,5,0.15625,260289.49280107403,136671.92982456135,0.5250766304616558,-2.5056913006150037,0.01222122674818964,,
Northern Cape,28,1,0.03571428571428571,130128.69973591174,2469.29824561404,0.01897581587017568,-3.669760909201501,0.00024277743362740122,,
